Date,Non-mortgage loans,Chartered banks 1,Personal loans 1 2,Of which: Auto loans 1 2,Credit cards 1 2,Lines of credit 1 2 4,"Lines of credit, of which: excluding home equity lines of credit 1 2",Other personal loans 1 2,Unincorporated business 1 2,Non-banks 1,Government 1 5,Non-bank financial corporations 1 5,Credit unions and caisse populaires 1 5,Trust companies and mortgage loan companies 1 5,Financial vehicle corporations engaged in securitization 1 6,Other financial corporations n.e.i. 1 7,Other lenders n.e.i. 1 8,Mortgage loans,Residential mortgages 9,Chartered banks 9 10,Non-banks 9 10,Government 9 10,Non-bank financial corporations 9 10 11,Of which: financial vehicle corporations engaged in securitization 6 9 10,Of which: off balance-sheet NHA-MBS 9 10 12,Other lenders n.e.i. 8 9 10,Non-residential mortgages 9,Chartered banks 9 13,Non-banks 9 13,Government 9 13,Non-bank financial corporations 9 13,Of which: financial vehicle corporations engaged in securitization 6 9 13,Other lenders n.e.i. 8 9 13,Total credit liabilities of households,Of which: real estate secured lending 14,Residential mortgages 14,Chartered banks 10 14,Non-banks 10 14,Non-residential mortgages 14,Chartered banks 13 14,Non-banks 13 14,Home equity lines of credit 14,Chartered banks 14,Non-banks 14 15
5/1/2003,"290,150","171,319","39,024",0,"31,028","64,803","15,970","19,858","16,606","118,831","4,847","111,473","34,549",268,"37,262","39,394","2,511","484,154","480,781","303,984","176,797",231,"171,157","59,021","45,589","5,409","3,373",716,"2,657",116,"2,328",307,213,"774,304","533,954","480,781","303,984","176,797","3,373",716,"2,657","49,800","48,833",967
6/1/2003,"294,237","173,741","39,243",0,"31,804","66,064","16,352","19,906","16,724","120,496","5,279","112,703","34,848",287,"38,153","39,415","2,514","486,474","483,067","303,047","180,020",239,"174,370","60,868","46,545","5,411","3,407",714,"2,693",120,"2,360",329,213,"780,711","537,169","483,067","303,047","180,020","3,407",714,"2,693","50,695","49,712",983
7/1/2003,"298,117","176,359","39,316",0,"32,860","67,335","16,593","20,114","16,734","121,758","5,486","113,754","35,187",304,"38,586","39,677","2,518","492,358","488,907","306,000","182,907",243,"177,182","62,668","48,423","5,482","3,451",722,"2,729",122,"2,393",344,214,"790,475","544,095","488,907","306,000","182,907","3,451",722,"2,729","51,737","50,742",995
8/1/2003,"299,082","175,977","39,309",0,"32,017","68,251","16,743","19,945","16,455","123,105","5,692","114,891","35,604",327,"39,021","39,939","2,522","496,115","492,625","308,823","183,802",246,"178,003","62,517","50,301","5,553","3,490",731,"2,759",123,"2,420",359,216,"795,197","548,609","492,625","308,823","183,802","3,490",731,"2,759","52,494","51,508",986
9/1/2003,"302,267","177,866","39,374",0,"32,739","69,658","17,012","19,710","16,385","124,401","5,892","115,983","35,999",343,"39,449","40,192","2,526","500,551","497,028","309,082","187,946",250,"182,075","65,709","52,118","5,621","3,523",738,"2,785",125,"2,443",374,217,"802,818","554,204","497,028","309,082","187,946","3,523",738,"2,785","53,653","52,647","1,006"
10/1/2003,"303,384","178,202","39,312",0,"31,784","71,190","17,377","19,656","16,260","125,182","6,139","116,513","35,996",294,"39,479","40,744","2,530","504,407","500,836","309,477","191,359",254,"185,594","68,589","53,554","5,511","3,571",760,"2,811",127,"2,469",389,215,"807,791","559,236","500,836","309,477","191,359","3,571",760,"2,811","54,829","53,813","1,016"
11/1/2003,"305,733","179,679","39,188",0,"32,182","72,826","17,768","19,246","16,237","126,054","6,377","117,143","36,077",275,"39,512","41,279","2,534","509,148","505,532","314,111","191,421",257,"185,758","68,191","54,945","5,406","3,616",780,"2,836",129,"2,495",400,212,"814,881","565,239","505,532","314,111","191,421","3,616",780,"2,836","56,091","55,058","1,033"
12/1/2003,"309,702","182,906","39,022",0,"34,290","74,096","18,069","19,130","16,368","126,796","6,624","117,634","36,020",243,"39,540","41,831","2,538","511,119","507,458","313,862","193,596",261,"188,039","70,073","56,381","5,296","3,661",797,"2,864",131,"2,523",411,210,"820,821","568,174","507,458","313,862","193,596","3,661",797,"2,864","57,055","56,027","1,028"
1/1/2004,"309,929","182,568","38,664",0,"33,957","74,946","18,047","18,858","16,143","127,361","6,658","118,159","35,950",234,"40,210","41,765","2,544","514,372","510,678","314,084","196,594",265,"191,079","72,537","58,027","5,250","3,694",806,"2,888",134,"2,542",416,212,"824,301","572,266","510,678","314,084","196,594","3,694",806,"2,888","57,894","56,900",994
2/1/2004,"310,742","182,228","38,587",0,"32,847","76,364","18,153","18,513","15,917","128,514","6,690","119,275","36,501",231,"40,839","41,704","2,549","516,647","512,956","315,443","197,513",268,"192,039","72,648","59,568","5,206","3,691",797,"2,894",135,"2,545",417,214,"827,389","575,852","512,956","315,443","197,513","3,691",797,"2,894","59,205","58,211",994
