Date,Non-mortgage loans,Chartered banks 1,Personal loans 1 2,Of which: Auto loans 1 2,Credit cards 1 2,Lines of credit 1 2 4,"Lines of credit, of which: excluding home equity lines of credit 1 2",Other personal loans 1 2,Unincorporated business 1 2,Non-banks 1,Government 1 5,Non-bank financial corporations 1 5,Credit unions and caisse populaires 1 5,Trust companies and mortgage loan companies 1 5,Financial vehicle corporations engaged in securitization 1 6,Other financial corporations n.e.i. 1 7,Other lenders n.e.i. 1 8,Mortgage loans,Residential mortgages 9,Chartered banks 9 10,Non-banks 9 10,Government 9 10,Non-bank financial corporations 9 10 11,Of which: financial vehicle corporations engaged in securitization 6 9 10,Of which: off balance-sheet NHA-MBS 9 10 12,Other lenders n.e.i. 8 9 10,Non-residential mortgages 9,Chartered banks 9 13,Non-banks 9 13,Government 9 13,Non-bank financial corporations 9 13,Of which: financial vehicle corporations engaged in securitization 6 9 13,Other lenders n.e.i. 8 9 13,Total credit liabilities of households,Of which: real estate secured lending 14,Residential mortgages 14,Chartered banks 10 14,Non-banks 10 14,Non-residential mortgages 14,Chartered banks 13 14,Non-banks 13 14,Home equity lines of credit 14,Chartered banks 14,Non-banks 14 15
10/1/1992,"130,222","82,325","29,486",0,"10,592","9,035","2,120","17,592","15,620","47,897",288,"44,733","18,279","8,871","2,107","15,476","2,876","286,938","284,214","120,130","164,084",257,"158,325","11,351","10,316","5,502","2,724",401,"2,323",127,"2,020",0,176,"417,160","293,853","284,214","120,130","164,084","2,724",401,"2,323","6,915","6,915",0
11/1/1992,"129,453","81,641","29,138",0,"10,548","8,936","2,098","17,412","15,607","47,812",282,"44,680","18,230","8,574","2,350","15,526","2,850","288,639","285,918","121,359","164,559",258,"158,879","11,886","10,789","5,422","2,721",403,"2,318",128,"2,016",0,174,"418,092","295,476","285,918","121,359","164,559","2,721",403,"2,318","6,837","6,837",0
12/1/1992,"129,788","81,919","28,793",0,"11,131","8,849","2,080","17,369","15,777","47,869",276,"44,769","18,242","8,345","2,603","15,579","2,824","290,458","287,737","122,847","164,890",259,"159,292","12,440","11,278","5,339","2,721",406,"2,315",128,"2,015",0,172,"420,246","297,227","287,737","122,847","164,890","2,721",406,"2,315","6,769","6,769",0
1/1/1993,"129,776","82,922","28,744",0,"11,412","9,267","2,162","17,629","15,870","46,854",266,"43,790","18,325","7,238","2,569","15,658","2,798","293,502","290,695","126,953","163,742",254,"158,159","12,946","11,791","5,329","2,807",483,"2,324",127,"2,025",0,172,"423,278","300,607","290,695","126,953","163,742","2,807",483,"2,324","7,105","7,105",0
2/1/1993,"128,739","81,876","28,706",0,"10,807","9,268","2,145","17,524","15,571","46,863",257,"43,831","18,300","7,268","2,534","15,729","2,775","293,225","290,393","127,366","163,027",258,"157,450","13,402","12,255","5,319","2,832",492,"2,340",130,"2,038",0,172,"421,964","300,348","290,393","127,366","163,027","2,832",492,"2,340","7,123","7,123",0
3/1/1993,"129,731","82,497","28,993",0,"10,729","9,487","2,179","17,700","15,588","47,234",247,"44,238","18,410","7,521","2,499","15,808","2,749","292,030","289,187","127,175","162,012",263,"156,440","13,908","12,768","5,309","2,843",490,"2,353",129,"2,052",0,172,"421,761","299,338","289,187","127,175","162,012","2,843",490,"2,353","7,308","7,308",0
4/1/1993,"129,892","82,509","29,042",0,"11,040","9,570","2,219","17,365","15,492","47,383",243,"44,400","18,466","7,644","2,464","15,826","2,740","294,127","291,292","129,167","162,125",252,"156,535","14,074","12,941","5,338","2,835",488,"2,347",123,"2,051",0,173,"424,019","301,479","291,292","129,167","162,125","2,835",488,"2,347","7,352","7,352",0
5/1/1993,"130,530","83,013","29,237",0,"11,160","9,687","2,266","17,442","15,487","47,517",239,"44,548","18,572","7,701","2,430","15,845","2,730","296,780","293,948","131,596","162,352",240,"156,743","14,247","13,121","5,369","2,832",491,"2,341",118,"2,050",0,173,"427,310","304,201","293,948","131,596","162,352","2,832",491,"2,341","7,421","7,421",0
6/1/1993,"131,151","83,506","29,387",0,"11,267","9,761","2,304","17,611","15,480","47,645",235,"44,689","18,676","7,755","2,395","15,863","2,721","300,250","297,419","134,682","162,737",229,"157,110","14,413","13,294","5,398","2,831",495,"2,336",113,"2,049",0,174,"431,401","307,707","297,419","134,682","162,737","2,831",495,"2,336","7,457","7,457",0
7/1/1993,"131,728","83,760","29,396",0,"11,442","9,931","2,334","17,493","15,498","47,968",230,"45,025","19,090","7,741","2,361","15,833","2,713","298,186","295,335","135,405","159,930",230,"154,230","14,830","13,718","5,470","2,851",525,"2,326",113,"2,038",0,175,"429,914","305,783","295,335","135,405","159,930","2,851",525,"2,326","7,597","7,597",0
8/1/1993,"132,505","84,204","29,360",0,"11,681","10,045","2,350","17,566","15,552","48,301",225,"45,370","19,515","7,725","2,327","15,803","2,706","296,109","293,243","135,898","157,345",232,"151,571","15,247","14,142","5,542","2,866",552,"2,314",112,"2,025",0,177,"428,614","303,804","293,243","135,898","157,345","2,866",552,"2,314","7,695","7,695",0
9/1/1993,"133,034","86,160","29,287",0,"12,479","10,922","2,543","17,589","15,883","46,874",220,"43,956","19,195","6,695","2,292","15,774","2,698","303,002","300,058","144,706","155,352",219,"149,522","15,650","14,552","5,611","2,944",644,"2,300",108,"2,014",0,178,"436,036","311,380","300,058","144,706","155,352","2,944",644,"2,300","8,378","8,378",0
10/1/1993,"133,515","86,208","29,265",0,"12,523","11,008","2,563","17,615","15,797","47,307",215,"44,403","19,296","6,785","2,469","15,853","2,689","303,955","301,020","145,308","155,712",218,"149,858","15,972","14,833","5,636","2,935",639,"2,296",107,"2,010",0,179,"437,470","312,401","301,020","145,308","155,712","2,935",639,"2,296","8,446","8,446",0
11/1/1993,"134,342","86,751","29,239",0,"12,656","10,801","2,514","18,255","15,800","47,591",211,"44,699","19,260","6,863","2,648","15,928","2,681","304,817","301,894","145,902","155,992",216,"150,115","16,285","15,105","5,661","2,923",636,"2,287",106,"2,002",0,179,"439,159","313,105","301,894","145,902","155,992","2,923",636,"2,287","8,288","8,288",0
12/1/1993,"135,572","87,662","29,269",0,"13,490","10,884","2,532","18,150","15,869","47,910",206,"45,032","19,215","6,981","2,829","16,007","2,672","306,174","303,265","147,004","156,261",214,"150,361","16,607","15,386","5,686","2,909",626,"2,283",105,"1,998",0,180,"441,746","314,526","303,265","147,004","156,261","2,909",626,"2,283","8,352","8,352",0
1/1/1994,"135,401","87,752","29,014",0,"13,715","10,962","2,518","18,274","15,787","47,649",202,"44,784","19,039","7,081","2,800","15,864","2,663","307,133","304,240","147,893","156,347",211,"150,453","16,581","15,410","5,683","2,893",615,"2,278",103,"1,995",0,180,"442,534","315,577","304,240","147,893","156,347","2,893",615,"2,278","8,444","8,444",0
2/1/1994,"134,854","86,889","29,098",0,"12,910","11,088","2,514","18,260","15,533","47,965",199,"45,110","19,338","7,264","2,774","15,734","2,656","307,428","304,549","148,091","156,458",209,"150,569","16,557","15,432","5,680","2,879",602,"2,277",102,"1,996",0,179,"442,282","316,002","304,549","148,091","156,458","2,879",602,"2,277","8,574","8,574",0
3/1/1994,"136,409","88,331","29,615",0,"12,886","11,385","2,547","18,755","15,690","48,078",195,"45,236","19,406","7,494","2,745","15,591","2,647","308,539","305,674","148,887","156,787",207,"150,903","16,531","15,456","5,677","2,865",594,"2,271",101,"1,991",0,179,"444,948","317,377","305,674","148,887","156,787","2,865",594,"2,271","8,838","8,838",0
4/1/1994,"136,430","88,174","29,712",0,"13,134","11,387","2,542","18,466","15,475","48,256",189,"45,403","19,473","7,524","2,718","15,688","2,664","311,107","308,203","152,429","155,774",201,"149,862","16,671","15,597","5,711","2,904",638,"2,266",98,"1,988",0,180,"447,537","319,953","308,203","152,429","155,774","2,904",638,"2,266","8,846","8,846",0
5/1/1994,"136,616","88,091","29,785",0,"13,258","11,422","2,544","18,355","15,271","48,525",184,"45,660","19,641","7,543","2,689","15,787","2,681","312,669","309,750","154,921","154,829",197,"148,886","16,816","15,743","5,746","2,919",657,"2,262",97,"1,985",0,180,"449,285","321,547","309,750","154,921","154,829","2,919",657,"2,262","8,878","8,878",0
6/1/1994,"137,128","88,238","29,893",0,"13,487","11,368","2,526","18,384","15,106","48,890",178,"46,014","19,798","7,671","2,661","15,884","2,698","311,870","308,936","155,248","153,688",197,"147,711","16,956","15,884","5,780","2,934",671,"2,263",96,"1,986",0,181,"448,998","320,712","308,936","155,248","153,688","2,934",671,"2,263","8,842","8,842",0
7/1/1994,"137,559","88,796","30,082",0,"13,725","11,626","2,605","18,323","15,040","48,763",174,"45,872","19,640","7,697","2,633","15,902","2,717","314,568","311,667","157,140","154,527",195,"148,538","16,967","15,896","5,794","2,901",641,"2,260",95,"1,984",0,181,"452,127","323,589","311,667","157,140","154,527","2,901",641,"2,260","9,021","9,021",0
8/1/1994,"137,743","89,144","30,248",0,"13,978","11,833","2,674","18,149","14,936","48,599",170,"45,694","19,527","7,644","2,604","15,919","2,735","316,101","313,231","158,085","155,146",193,"149,145","16,978","15,908","5,808","2,870",612,"2,258",95,"1,981",0,182,"453,844","325,260","313,231","158,085","155,146","2,870",612,"2,258","9,159","9,159",0
9/1/1994,"139,672","90,444","30,425",0,"14,394","12,055","2,746","18,581","14,989","49,228",166,"46,309","20,189","7,607","2,577","15,936","2,753","316,991","314,136","158,969","155,167",191,"149,154","16,989","15,920","5,822","2,855",599,"2,256",94,"1,980",0,182,"456,663","326,299","314,136","158,969","155,167","2,855",599,"2,256","9,308","9,308",0
10/1/1994,"141,236","91,572","30,512",0,"14,504","12,221","2,782","19,154","15,181","49,664",162,"46,734","20,381","7,658","2,548","16,147","2,768","317,910","315,070","160,241","154,829",191,"148,809","17,264","16,133","5,829","2,840",602,"2,238",94,"1,962",0,182,"459,146","327,348","315,070","160,241","154,829","2,840",602,"2,238","9,438","9,438",0
11/1/1994,"142,071","92,672","30,611",0,"14,590","12,334","2,806","19,768","15,369","49,399",158,"46,458","19,814","7,771","2,522","16,351","2,783","320,407","317,585","161,962","155,623",190,"149,596","17,530","16,338","5,837","2,822",602,"2,220",93,"1,944",0,183,"462,478","329,935","317,585","161,962","155,623","2,822",602,"2,220","9,528","9,528",0
12/1/1994,"143,255","93,432","30,672",0,"15,448","12,482","2,838","19,330","15,500","49,823",154,"46,871","19,920","7,896","2,493","16,562","2,798","321,963","319,155","163,860","155,295",190,"149,261","17,805","16,551","5,844","2,808",604,"2,204",93,"1,928",0,183,"465,218","331,607","319,155","163,860","155,295","2,808",604,"2,204","9,644","9,644",0
1/1/1995,"143,205","93,653","30,380",0,"15,555","12,501","2,801","19,549","15,668","49,552",151,"46,585","19,801","7,967","2,459","16,358","2,816","322,802","319,996","164,553","155,443",188,"149,539","17,792","16,544","5,716","2,806",607,"2,199",92,"1,926",0,181,"466,007","332,502","319,996","164,553","155,443","2,806",607,"2,199","9,700","9,700",0
2/1/1995,"142,619","92,755","30,322",0,"14,726","12,534","2,766","19,524","15,649","49,864",148,"46,885","20,146","8,140","2,424","16,175","2,831","323,707","320,911","165,390","155,521",187,"149,733","17,781","16,537","5,601","2,796",602,"2,194",91,"1,925",0,178,"466,326","333,475","320,911","165,390","155,521","2,796",602,"2,194","9,768","9,768",0
3/1/1995,"143,805","93,967","30,696",0,"14,594","12,837","2,790","19,853","15,987","49,838",145,"46,844","20,135","8,348","2,390","15,971","2,849","324,080","321,296","165,670","155,626",186,"149,967","17,768","16,530","5,473","2,784",595,"2,189",91,"1,922",0,176,"467,885","334,127","321,296","165,670","155,626","2,784",595,"2,189","10,047","10,047",0
4/1/1995,"144,239","94,088","30,800",0,"14,843","12,814","2,800","19,615","16,016","50,151",141,"47,145","20,265","8,392","2,356","16,132","2,865","324,962","322,196","166,405","155,791",185,"150,130","17,739","16,504","5,476","2,766",588,"2,178",91,"1,911",0,176,"469,201","334,975","322,196","166,405","155,791","2,766",588,"2,178","10,013","10,013",0
5/1/1995,"145,118","94,649","30,905",0,"15,102","12,876","2,829","19,646","16,120","50,469",136,"47,450","20,419","8,410","2,322","16,299","2,883","325,830","323,093","166,905","156,188",185,"150,523","17,728","16,476","5,480","2,737",572,"2,165",91,"1,898",0,176,"470,948","335,877","323,093","166,905","156,188","2,737",572,"2,165","10,047","10,047",0
6/1/1995,"146,025","95,302","31,114",0,"15,457","12,882","2,845","19,609","16,240","50,723",132,"47,692","20,475","8,469","2,288","16,460","2,899","327,499","324,783","168,137","156,646",184,"150,979","17,673","16,450","5,483","2,716",562,"2,154",91,"1,887",0,176,"473,524","337,535","324,783","168,137","156,646","2,716",562,"2,154","10,036","10,036",0
7/1/1995,"146,622","95,584","31,290",0,"15,587","12,980","2,860","19,549","16,178","51,038",131,"47,992","20,589","8,579","2,254","16,570","2,915","329,527","326,813","169,569","157,244",183,"151,575","17,595","16,384","5,486","2,714",560,"2,154",90,"1,888",0,176,"476,149","339,646","326,813","169,569","157,244","2,714",560,"2,154","10,119","10,119",0
8/1/1995,"147,287","95,695","31,381",0,"15,710","13,026","2,864","19,491","16,087","51,592",131,"48,530","20,868","8,763","2,219","16,680","2,931","331,820","329,104","171,080","158,024",182,"152,353","17,538","16,318","5,489","2,716",559,"2,157",90,"1,890",0,177,"479,107","341,983","329,104","171,080","158,024","2,716",559,"2,157","10,163","10,163",0
9/1/1995,"149,162","97,059","31,525",0,"16,109","13,146","2,883","20,075","16,204","52,103",130,"49,026","21,098","8,957","2,185","16,786","2,947","333,635","330,923","172,236","158,687",182,"153,013","17,462","16,254","5,492","2,712",555,"2,157",89,"1,891",0,177,"482,797","343,898","330,923","172,236","158,687","2,712",555,"2,157","10,263","10,263",0
10/1/1995,"150,134","97,909","31,829",0,"16,111","13,228","2,900","20,446","16,295","52,225",125,"49,145","21,167","8,772","2,315","16,891","2,955","334,096","331,392","173,295","158,097",181,"152,492","17,448","16,224","5,424","2,704",547,"2,157",89,"1,893",0,175,"484,230","344,425","331,392","173,295","158,097","2,704",547,"2,157","10,329","10,329",0
11/1/1995,"151,464","98,845","31,891",0,"16,150","13,197","2,891","21,209","16,398","52,619",120,"49,536","21,165","8,933","2,445","16,993","2,963","334,820","332,134","174,468","157,666",181,"152,128","17,426","16,195","5,357","2,686",530,"2,156",89,"1,893",0,174,"486,284","345,126","332,134","174,468","157,666","2,686",530,"2,156","10,306","10,306",0
12/1/1995,"152,497","99,501","31,720",0,"16,900","13,219","2,894","21,207","16,455","52,996",115,"49,910","21,166","9,070","2,576","17,098","2,971","334,935","332,255","175,497","156,758",181,"151,288","17,363","16,165","5,289","2,680",523,"2,157",89,"1,896",0,172,"487,432","345,260","332,255","175,497","156,758","2,680",523,"2,157","10,325","10,325",0
1/1/1996,"152,974","99,322","31,461",0,"16,927","13,274","2,871","21,436","16,224","53,652",106,"50,559","21,114","9,724","2,614","17,107","2,987","334,823","332,163","175,974","156,189",180,"150,885","17,128","15,994","5,124","2,660",525,"2,135",89,"1,876",0,170,"487,797","345,225","332,163","175,974","156,189","2,660",525,"2,135","10,402","10,402",0
2/1/1996,"153,371","98,681","31,840",0,"16,125","13,431","2,870","21,367","15,918","54,690",99,"51,590","21,727","10,096","2,652","17,115","3,001","334,561","331,917","176,428","155,489",179,"150,341","16,876","15,834","4,969","2,644",527,"2,117",89,"1,859",0,169,"487,932","345,122","331,917","176,428","155,489","2,644",527,"2,117","10,561","10,561",0
3/1/1996,"155,305","100,368","32,714",0,"15,973","13,854","2,924","21,845","15,982","54,937",90,"51,830","21,861","10,154","2,691","17,124","3,017","335,309","332,691","177,448","155,243",179,"150,260","16,598","15,663","4,804","2,618",523,"2,095",88,"1,840",0,167,"490,614","346,239","332,691","177,448","155,243","2,618",523,"2,095","10,930","10,930",0
4/1/1996,"156,037","100,416","32,693",0,"16,027","13,796","2,908","21,635","16,265","55,621",88,"52,512","21,883","10,342","2,681","17,606","3,021","335,970","333,356","178,661","154,695",177,"149,699","16,365","15,459","4,819","2,614",522,"2,092",87,"1,838",0,167,"492,007","346,858","333,356","178,661","154,695","2,614",522,"2,092","10,888","10,888",0
5/1/1996,"157,076","100,743","32,771",0,"16,097","13,846","2,915","21,436","16,593","56,333",86,"53,222","21,978","10,468","2,671","18,105","3,025","338,324","335,718","180,248","155,470",176,"150,459","16,151","15,248","4,835","2,606",516,"2,090",87,"1,835",0,168,"495,400","349,255","335,718","180,248","155,470","2,606",516,"2,090","10,931","10,931",0
6/1/1996,"158,880","101,702","32,990",0,"16,350","13,917","2,926","21,418","17,027","57,178",84,"54,065","22,142","10,675","2,661","18,587","3,029","340,086","337,487","182,057","155,430",174,"150,406","15,989","15,044","4,850","2,599",511,"2,088",86,"1,834",0,168,"498,966","351,077","337,487","182,057","155,430","2,599",511,"2,088","10,991","10,991",0
7/1/1996,"159,349","101,643","33,198",0,"16,397","14,206","3,018","21,215","16,627","57,706",84,"54,592","22,290","10,942","2,694","18,666","3,030","341,860","339,259","183,319","155,940",174,"150,966","15,828","14,858","4,800","2,601",512,"2,089",86,"1,836",0,167,"501,209","353,048","339,259","183,319","155,940","2,601",512,"2,089","11,188","11,188",0
8/1/1996,"159,836","101,444","33,292",0,"16,562","14,489","3,109","20,897","16,204","58,392",85,"55,277","22,585","11,220","2,728","18,744","3,030","342,320","339,722","184,302","155,420",173,"150,496","15,786","14,671","4,751","2,598",514,"2,084",85,"1,833",0,166,"502,156","353,700","339,722","184,302","155,420","2,598",514,"2,084","11,380","11,380",0
9/1/1996,"161,796","102,785","33,490",0,"16,933","14,876","3,224","21,465","16,021","59,011",85,"55,895","22,803","11,510","2,762","18,820","3,031","344,104","341,510","185,500","156,010",172,"151,135","15,901","14,491","4,703","2,594",512,"2,082",85,"1,832",0,165,"505,900","355,756","341,510","185,500","156,010","2,594",512,"2,082","11,652","11,652",0
10/1/1996,"163,008","103,252","33,190",0,"16,898","15,190","3,257","21,925","16,049","59,756",85,"56,634","22,968","11,824","2,966","18,876","3,037","345,070","342,474","186,518","155,956",172,"151,204","15,833","14,049","4,580","2,596",509,"2,087",85,"1,840",0,162,"508,078","357,003","342,474","186,518","155,956","2,596",509,"2,087","11,933","11,933",0
11/1/1996,"163,637","103,253","32,628",0,"16,877","15,449","3,276","22,296","16,003","60,384",84,"57,256","23,089","12,054","3,183","18,930","3,044","347,059","344,461","188,527","155,934",172,"151,302","15,599","13,621","4,460","2,598",508,"2,090",85,"1,845",0,160,"510,696","359,232","344,461","188,527","155,934","2,598",508,"2,090","12,173","12,173",0
12/1/1996,"164,908","103,988","32,561",0,"17,324","15,728","3,298","22,304","16,071","60,920",84,"57,786","23,050","12,332","3,418","18,986","3,050","349,169","346,567","191,023","155,544",172,"151,035","15,221","13,179","4,337","2,602",510,"2,092",85,"1,850",0,157,"514,077","361,598","346,567","191,023","155,544","2,602",510,"2,092","12,429","12,429",0
1/1/1997,"164,933","103,971","32,208",0,"17,280","15,961","3,319","22,543","15,979","60,962",82,"57,830","22,687","12,516","3,518","19,109","3,050","349,491","346,883","192,138","154,745",172,"150,195","15,393","13,393","4,378","2,608",511,"2,097",85,"1,853",0,159,"514,424","362,133","346,883","192,138","154,745","2,608",511,"2,097","12,642","12,642",0
2/1/1997,"166,199","104,083","32,656",0,"16,596","16,199","3,340","22,726","15,906","62,116",80,"58,985","23,050","13,094","3,622","19,219","3,051","350,752","348,157","193,935","154,222",171,"149,636","16,168","13,587","4,415","2,595",509,"2,086",84,"1,840",0,162,"516,951","363,611","348,157","193,935","154,222","2,595",509,"2,086","12,859","12,859",0
3/1/1997,"169,443","107,171","34,181",0,"16,474","16,872","3,448","23,359","16,285","62,272",78,"59,143","22,783","13,290","3,728","19,342","3,051","351,529","348,943","194,781","154,162",170,"149,536","17,091","13,801","4,456","2,586",510,"2,076",84,"1,828",0,164,"520,972","364,952","348,943","194,781","154,162","2,586",510,"2,076","13,423","13,423",0
4/1/1997,"170,073","107,398","34,307",0,"16,590","16,955","3,454","23,177","16,369","62,675",77,"59,537","22,759","13,308","3,690","19,780","3,061","353,179","350,593","196,341","154,252",169,"149,620","17,404","13,705","4,463","2,586",511,"2,075",84,"1,827",0,164,"523,252","366,680","350,593","196,341","154,252","2,586",511,"2,075","13,501","13,501",0
5/1/1997,"171,281","107,922","34,315",0,"16,833","17,244","3,501","23,032","16,498","63,359",77,"60,210","22,790","13,536","3,652","20,232","3,072","354,200","351,611","197,101","154,510",169,"149,871","17,640","13,606","4,470","2,589",514,"2,075",84,"1,826",0,165,"525,481","367,943","351,611","197,101","154,510","2,589",514,"2,075","13,743","13,743",0
6/1/1997,"172,522","108,421","34,283",0,"17,083","17,534","3,548","22,897","16,624","64,101",76,"60,943","22,852","13,807","3,614","20,670","3,082","356,133","353,548","198,428","155,120",169,"150,474","17,814","13,510","4,477","2,585",515,"2,070",84,"1,821",0,165,"528,655","370,119","353,548","198,428","155,120","2,585",515,"2,070","13,986","13,986",0
7/1/1997,"173,773","109,208","34,694",0,"17,317","18,152","3,773","22,392","16,653","64,565",76,"61,397","22,916","13,700","3,747","21,034","3,092","354,672","352,097","199,727","152,370",174,"147,735","18,130","13,657","4,461","2,575",516,"2,059",85,"1,809",0,165,"528,445","369,051","352,097","199,727","152,370","2,575",516,"2,059","14,379","14,379",0
8/1/1997,"175,600","109,158","35,263",0,"16,404","19,261","4,108","21,675","16,555","66,442",77,"63,262","23,137","13,393","5,333","21,399","3,103","359,273","356,687","206,015","150,672",172,"146,055","18,682","13,803","4,445","2,586",542,"2,044",85,"1,795",0,164,"534,873","374,426","356,687","206,015","150,672","2,586",542,"2,044","15,153","15,153",0
9/1/1997,"179,311","112,422","35,732",0,"16,866","20,415","4,463","22,451","16,958","66,889",77,"63,699","23,389","13,093","5,466","21,751","3,113","360,903","358,317","210,526","147,791",172,"143,190","19,439","13,945","4,429","2,586",556,"2,030",85,"1,781",0,164,"540,214","376,854","358,317","210,526","147,791","2,586",556,"2,030","15,951","15,951",0
10/1/1997,"180,904","110,797","33,593",0,"15,847","20,986","4,585","23,502","16,869","70,107",75,"66,913","23,440","12,640","8,548","22,285","3,119","361,525","358,942","210,875","148,067",174,"143,485","19,986","13,947","4,408","2,583",557,"2,026",86,"1,777",0,163,"542,429","377,926","358,942","210,875","148,067","2,583",557,"2,026","16,401","16,401",0
11/1/1997,"182,600","110,726","33,306",0,"15,013","21,309","4,653","24,084","17,014","71,874",74,"68,675","23,648","13,235","8,989","22,803","3,125","362,194","359,617","211,523","148,094",175,"143,532","20,237","13,949","4,387","2,577",554,"2,023",86,"1,774",0,163,"544,794","378,850","359,617","211,523","148,094","2,577",554,"2,023","16,656","16,656",0
12/1/1997,"185,653","112,439","33,358",0,"15,851","21,722","4,740","24,073","17,435","73,214",72,"70,011","23,615","13,625","9,434","23,337","3,131","363,983","361,409","213,281","148,128",176,"143,586","20,778","13,951","4,366","2,574",557,"2,017",87,"1,768",0,162,"549,636","380,965","361,409","213,281","148,128","2,574",557,"2,017","16,982","16,982",0
1/1/1998,"185,933","112,832","33,188",0,"15,753","22,024","4,802","24,376","17,491","73,101",73,"69,886","23,448","13,382","9,737","23,319","3,142","363,785","361,197","213,795","147,402",177,"142,779","21,369","14,802","4,446","2,588",563,"2,025",87,"1,773",0,165,"549,718","381,007","361,197","213,795","147,402","2,588",563,"2,025","17,222","17,222",0
2/1/1998,"186,545","112,917","33,614",0,"14,966","22,290","4,857","24,547","17,500","73,628",74,"70,402","23,836","13,211","10,051","23,304","3,152","365,639","363,040","215,031","148,009",178,"143,314","22,825","15,570","4,517","2,599",568,"2,031",88,"1,775",0,168,"552,184","383,072","363,040","215,031","148,009","2,599",568,"2,031","17,433","17,433",0
3/1/1998,"190,315","115,010","34,727",0,"14,920","22,859","4,977","24,685","17,819","75,305",75,"72,067","24,081","14,325","10,375","23,286","3,163","368,023","365,414","215,178","150,236",179,"145,460","24,606","16,421","4,597","2,609",572,"2,037",88,"1,778",0,171,"558,338","385,905","365,414","215,178","150,236","2,609",572,"2,037","17,882","17,882",0
4/1/1998,"192,558","114,011","35,007",0,"13,764","22,906","5,046","24,508","17,826","78,547",75,"75,307","24,133","14,460","13,182","23,532","3,165","369,474","366,855","216,219","150,636",181,"145,855","24,956","16,700","4,600","2,619",574,"2,045",89,"1,785",0,171,"562,032","387,334","366,855","216,219","150,636","2,619",574,"2,045","17,860","17,860",0
5/1/1998,"192,987","113,143","35,211",0,"11,737","23,594","5,257","24,752","17,849","79,844",76,"76,602","24,263","14,440","14,113","23,786","3,166","370,707","368,078","217,797","150,281",183,"145,495","24,951","16,987","4,603","2,629",580,"2,049",90,"1,788",0,171,"563,694","389,044","368,078","217,797","150,281","2,629",580,"2,049","18,337","18,337",0
6/1/1998,"195,356","114,163","35,410",0,"11,966","23,909","5,388","24,709","18,169","81,193",76,"77,949","24,259","14,613","15,045","24,032","3,168","373,759","371,119","220,091","151,028",185,"146,237","25,243","17,266","4,606","2,640",581,"2,059",91,"1,797",8,171,"569,115","392,280","371,119","220,091","151,028","2,640",581,"2,059","18,521","18,521",0
7/1/1998,"196,853","115,186","35,552",0,"12,242","24,301","5,516","24,846","18,245","81,667",76,"78,422","24,208","14,670","14,906","24,638","3,169","375,731","373,086","220,650","152,436",187,"147,664","26,792","17,263","4,585","2,645",583,"2,062",92,"1,800",14,170,"572,584","394,515","373,086","220,650","152,436","2,645",583,"2,062","18,784","18,784",0
8/1/1998,"197,616","114,091","35,581",0,"11,144","24,668","5,641","24,712","17,986","83,525",76,"80,280","24,340","14,726","15,970","25,244","3,169","378,324","375,686","221,253","154,433",189,"149,679","28,892","17,259","4,565","2,638",578,"2,060",94,"1,796",13,170,"575,940","397,351","375,686","221,253","154,433","2,638",578,"2,060","19,027","19,027",0
9/1/1998,"200,067","115,183","35,628",0,"11,412","25,099","5,781","24,972","18,072","84,884",76,"81,638","24,453","14,937","16,418","25,830","3,170","379,951","377,319","220,612","156,707",191,"151,971","30,952","17,256","4,545","2,632",574,"2,058",95,"1,794",12,169,"580,018","399,269","377,319","220,612","156,707","2,632",574,"2,058","19,318","19,318",0
10/1/1998,"201,183","114,754","35,564",0,"10,884","25,297","5,785","24,998","18,011","86,429",75,"83,183","24,508","14,708","17,423","26,544","3,171","381,392","378,765","220,594","158,171",193,"153,464","32,763","17,514","4,514","2,627",569,"2,058",96,"1,794",14,168,"582,575","400,905","378,765","220,594","158,171","2,627",569,"2,058","19,513","19,513",0
11/1/1998,"201,423","113,852","35,746",0,"10,735","25,243","5,730","24,252","17,876","87,571",74,"84,326","24,533","14,873","17,686","27,234","3,171","384,422","381,796","222,551","159,245",195,"154,566","33,629","17,764","4,484","2,626",564,"2,062",97,"1,797",16,168,"585,845","403,935","381,796","222,551","159,245","2,626",564,"2,062","19,513","19,513",0
12/1/1998,"203,625","115,008","35,594",0,"11,511","25,332","5,708","24,507","18,064","88,617",73,"85,372","24,266","15,209","17,949","27,948","3,172","386,718","384,095","224,530","159,565",198,"154,914","33,788","18,022","4,453","2,623",555,"2,068",98,"1,803",20,167,"590,343","406,342","384,095","224,530","159,565","2,623",555,"2,068","19,624","19,624",0
1/1/1999,"203,432","114,642","35,263",0,"11,546","25,519","5,731","24,444","17,870","88,790",71,"85,796","24,169","15,093","18,141","28,393","2,923","386,008","383,387","224,986","158,401",201,"153,745","34,127","18,640","4,455","2,621",555,"2,066",98,"1,800",25,168,"589,440","405,797","383,387","224,986","158,401","2,621",555,"2,066","19,789","19,789",0
2/1/1999,"204,511","114,239","35,658",0,"10,411","25,677","5,746","24,823","17,670","90,272",70,"87,503","24,613","15,766","18,329","28,795","2,699","384,798","382,171","223,882","158,289",202,"153,631","35,411","19,197","4,456","2,627",558,"2,069",98,"1,802",32,169,"589,309","404,729","382,171","223,882","158,289","2,627",558,"2,069","19,931","19,931",0
